City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,77.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
6,Lorengau,PG,80.98,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
10,Rikitea,PF,75.02,scattered clouds,-23.1203,-134.9692,People ThankYou
14,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
15,Faranah,GN,79.66,light rain,10.0404,-10.7434,Chez mon oncle
19,Kavieng,PG,81.73,light rain,-2.5744,150.7967,Nusa Island Retreat
30,Hamilton,US,80.6,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
40,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
52,Dingle,PH,76.64,light rain,10.9995,122.6711,SEGAYA PROPERTY
59,Atuona,PF,77.04,overcast clouds,-9.8,-139.0333,Villa Enata
60,Ahuimanu,US,76.71,light rain,21.4447,-157.8378,Paradise Bay Resort
63,Oktyabrskoye,RU,80.74,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
74,Butaritari,KI,81.07,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Katsuura,JP,79.39,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
81,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
82,Savannah Bight,HN,81.41,few clouds,16.45,-85.85,Villa on Dunbar Rock
83,Faanui,PF,75.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Ambon,ID,79.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
99,Chililabombwe,ZM,76.19,few clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
101,Natitingou,BJ,80.64,overcast clouds,10.3042,1.3796,Cotonou
106,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Hotel Branco I
107,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
109,Luganville,VU,76.71,clear sky,-15.5333,167.1667,The Espiritu Hotel
110,Caravelas,BR,78.22,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
116,Yaring,TH,79.93,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
118,Mahibadhoo,MV,81.21,overcast clouds,3.7833,72.9667,Omadhoo Inn
123,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Gulabpura,IN,77.79,overcast clouds,25.9,74.6667,Hotel N chandra
135,Tarakan,ID,81.57,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
147,Fukue,JP,76.93,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
151,Lubango,AO,76.3,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
153,Springfield,US,79.92,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
155,Mende,FR,78.62,broken clouds,44.6667,3.5,Le Plateau du Roy
162,Ningbo,CN,80.58,thunderstorm with light rain,29.8782,121.5495,CITIC Ningbo International Hotel
173,Manggar,ID,81.23,broken clouds,-2.8833,108.2667,Guest Hotel
176,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
179,Roma,US,76.95,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
184,Bud,US,78.78,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
187,Bubaque,GW,77.43,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
189,Jiwani,PK,81.19,overcast clouds,25.05,61.7417,Hamza hotel jiwani
198,Biak,ID,75.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
201,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
202,Puerto Escondido,MX,77.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
