City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,2022-07-24 17:13:17,-43.3002,-65.1023,42.48,77,100,12.44
1,Atuona,PF,2022-07-24 17:13:18,-9.8,-139.0333,77.11,66,64,19.15
2,Kodiak,US,2022-07-24 17:12:00,57.79,-152.4072,54.91,88,100,12.66
3,San Cristobal,VE,2022-07-24 17:08:29,7.7669,-72.225,78.98,37,96,7.63
4,Fare,PF,2022-07-24 17:13:18,-16.7,-151.0167,78.96,76,2,12.59
5,Ongandjera,NA,2022-07-24 17:13:19,-17.8833,15.0667,73.36,23,0,5.32
6,Ushuaia,AR,2022-07-24 17:13:19,-54.8,-68.3,37.02,64,0,3.44
7,Puerto Ayora,EC,2022-07-24 17:11:29,-0.7393,-90.3518,80.56,86,42,5.99
8,Ahipara,NZ,2022-07-24 17:13:20,-35.1667,173.1667,60.42,94,100,23.85
9,Cape Town,ZA,2022-07-24 17:13:20,-33.9258,18.4232,59.27,68,0,11.01
10,Sinnamary,GF,2022-07-24 17:09:22,5.3833,-52.95,83.66,72,84,8.7
11,Vila Velha,BR,2022-07-24 17:12:37,-20.3297,-40.2925,78.75,75,75,10.36
12,San Carlos De Bariloche,AR,2022-07-24 17:12:58,-41.1456,-71.3082,39.24,87,75,6.91
13,Georgetown,MY,2022-07-24 17:09:27,5.4112,100.3354,79.9,92,40,2.3
14,Mecca,SA,2022-07-24 17:11:43,21.4267,39.8261,91.2,47,69,7.36
15,Jamestown,US,2022-07-24 17:13:21,42.097,-79.2353,82.04,69,100,13.8
16,Tonj,SS,2022-07-24 17:13:22,7.2737,28.6822,76.42,78,100,3.09
17,Kapaa,US,2022-07-24 17:13:22,22.0752,-159.319,79.12,81,75,12.66
18,Hilo,US,2022-07-24 17:13:22,19.7297,-155.09,78.28,84,100,6.91
19,Iwanai,JP,2022-07-24 17:13:23,42.9744,140.5089,61.68,97,40,2.26
20,Castro,BR,2022-07-24 17:13:23,-24.7911,-50.0119,76.05,37,91,2.73
21,Rikitea,PF,2022-07-24 17:11:27,-23.1203,-134.9692,74.59,78,78,14.38
22,Butaritari,KI,2022-07-24 17:13:24,3.0707,172.7902,81.99,74,24,17.98
23,Saint-Philippe,RE,2022-07-24 17:13:24,-21.3585,55.7679,69.39,81,64,11.32
24,Teseney,ER,2022-07-24 17:13:25,15.11,36.6575,74.19,80,100,12.75
25,Sanghar,PK,2022-07-24 17:13:25,26.0466,68.9481,80.31,90,100,16.28
26,Lagoa,PT,2022-07-24 17:09:54,39.05,-27.9833,74.12,87,6,9.28
27,Avarua,CK,2022-07-24 17:13:26,-21.2078,-159.775,69.85,56,100,4.61
28,Torbay,CA,2022-07-24 17:13:26,47.6666,-52.7314,75.52,68,1,1.01
29,Bethel,US,2022-07-24 17:11:26,41.3712,-73.414,94.35,51,0,11.5
30,Albany,US,2022-07-24 17:11:34,42.6001,-73.9662,94.59,38,45,1.01
31,Victoria,HK,2022-07-24 17:09:30,22.2855,114.1577,87.94,82,2,8.99
32,Mataura,NZ,2022-07-24 17:13:27,-46.1927,168.8643,34.48,98,15,2.44
33,Port Alfred,ZA,2022-07-24 17:13:27,-33.5906,26.891,58.91,59,70,10.94
34,Cidreira,BR,2022-07-24 17:13:28,-30.1811,-50.2056,70.34,77,82,4.36
35,Busselton,AU,2022-07-24 17:13:28,-33.65,115.3333,56.79,73,87,13.4
36,Tuatapere,NZ,2022-07-24 17:13:28,-46.1333,167.6833,41.4,91,52,2.39
37,Vostok,RU,2022-07-24 17:13:29,46.4856,135.8833,57.9,97,93,2.37
38,Guerrero Negro,MX,2022-07-24 17:13:29,27.9769,-114.0611,73.76,63,86,4.68
39,Port Blair,IN,2022-07-24 17:13:30,11.6667,92.75,81.18,82,80,2.93
40,Kroonstad,ZA,2022-07-24 17:13:30,-27.6504,27.2349,46.96,24,0,6.24
41,Ancud,CL,2022-07-24 17:13:30,-41.8697,-73.8203,48.22,93,100,2.86
42,Auki,SB,2022-07-24 17:13:31,-8.7676,160.7034,76.68,88,11,4.23
43,Port Elizabeth,ZA,2022-07-24 17:13:31,-33.918,25.5701,56.1,97,36,3.0
44,Sale,MA,2022-07-24 17:12:21,34.0389,-6.8166,86.68,54,70,12.66
45,Coihaique,CL,2022-07-24 17:13:05,-45.5752,-72.0662,34.41,75,100,5.75
46,Villa Carlos Paz,AR,2022-07-24 17:14:32,-31.4241,-64.4978,72.68,38,70,4.0
47,Hamilton,US,2022-07-24 17:14:33,39.1834,-84.5333,89.73,67,0,16.11
48,Sabzevar,IR,2022-07-24 17:14:33,36.2126,57.6819,89.01,24,0,21.77
49,Ponta Do Sol,PT,2022-07-24 17:14:33,32.6667,-17.1,88.12,39,9,3.42
50,Port Shepstone,ZA,2022-07-24 17:14:34,-30.7414,30.455,60.17,60,26,24.56
51,Manokwari,ID,2022-07-24 17:14:34,-0.8667,134.0833,77.86,78,83,3.44
52,Broome,US,2022-07-24 17:14:35,42.2506,-75.833,88.09,59,20,8.05
53,Tubuala,PA,2022-07-24 17:14:35,9.5167,-79.0333,81.19,79,72,9.82
54,Beachwood,US,2022-07-24 17:14:36,41.4645,-81.5087,86.22,72,40,19.57
55,Bredasdorp,ZA,2022-07-24 17:14:36,-34.5322,20.0403,50.02,82,5,8.23
56,Xiongzhou,CN,2022-07-24 17:14:36,25.1167,114.3,82.18,70,19,2.95
57,Iqaluit,CA,2022-07-24 17:14:37,63.7506,-68.5145,49.69,87,75,5.99
58,Tashtyp,RU,2022-07-24 17:14:37,52.7939,89.8983,51.31,93,97,12.19
59,Bengkulu,ID,2022-07-24 17:14:37,-3.8004,102.2655,75.56,91,99,6.13
60,Baiyin,CN,2022-07-24 17:14:38,36.5583,104.2081,67.51,57,31,1.7
61,Ihosy,MG,2022-07-24 17:14:38,-22.4,46.1167,66.25,66,72,4.65
62,Mahebourg,MU,2022-07-24 17:14:38,-20.4081,57.7,70.09,73,40,10.36
63,Humaita,BR,2022-07-24 17:14:39,-7.5061,-63.0208,98.62,21,34,3.6
64,Antofagasta,CL,2022-07-24 17:14:39,-23.65,-70.4,60.08,66,3,8.25
65,Carutapera,BR,2022-07-24 17:14:40,-1.195,-46.02,85.6,63,72,8.57
66,Almaty,KZ,2022-07-24 17:14:40,43.25,76.95,80.51,28,75,2.24
67,Saldanha,ZA,2022-07-24 17:14:40,-33.0117,17.9442,53.65,68,0,9.31
68,Poum,NC,2022-07-24 17:09:58,-20.2333,164.0167,73.94,69,0,11.45
69,Avera,US,2022-07-24 17:14:41,33.194,-82.5271,92.37,45,20,4.0
70,Vigia Del Fuerte,CO,2022-07-24 17:14:41,6.5789,-76.8863,89.89,55,58,2.33
71,Simpang,ID,2022-07-24 17:14:42,-1.2667,104.0833,73.99,95,44,1.23
72,Pochutla,MX,2022-07-24 17:14:42,15.7432,-96.4661,85.82,77,100,2.68
73,Salta,AR,2022-07-24 17:14:43,-24.7859,-65.4117,78.58,42,20,4.61
74,Fuxin,CN,2022-07-24 17:14:43,42.0156,121.6589,70.47,98,42,1.72
75,Nago,JP,2022-07-24 17:14:43,26.5881,127.9761,80.46,88,21,1.48
76,Lebu,CL,2022-07-24 17:14:44,-37.6167,-73.65,48.9,96,100,4.54
77,Kavaratti,IN,2022-07-24 17:14:44,10.5669,72.642,81.03,79,96,12.46
78,Kingman,US,2022-07-24 17:14:45,35.1894,-114.053,91.65,27,0,10.36
79,Coahuayana,MX,2022-07-24 17:12:24,18.7333,-103.6833,90.01,48,49,3.22
80,Hopelchen,MX,2022-07-24 17:14:45,19.7667,-89.85,95.72,38,80,5.35
81,Praia,CV,2022-07-24 17:14:46,14.9215,-23.5087,84.74,70,20,9.22
82,Mangaratiba,BR,2022-07-24 17:14:46,-22.9597,-44.0406,76.42,61,2,6.35
83,Marsh Harbour,BS,2022-07-24 17:14:46,26.5412,-77.0636,83.82,68,92,14.7
84,Vaini,TO,2022-07-24 17:14:47,-21.2,-175.2,72.28,66,62,17.92
85,Punta Arenas,CL,2022-07-24 17:14:47,-53.15,-70.9167,41.02,65,20,18.41
86,Mount Gambier,AU,2022-07-24 17:14:48,-37.8333,140.7667,57.92,71,100,12.35
87,Savannah Bight,HN,2022-07-24 17:14:48,16.45,-85.85,82.15,76,96,13.27
88,Qena,EG,2022-07-24 17:14:48,26.1615,32.7183,98.04,7,83,12.62
89,Carnarvon,AU,2022-07-24 17:14:49,-24.8667,113.6333,60.44,46,0,16.73
90,Goderich,CA,2022-07-24 17:14:49,43.7501,-81.7165,74.91,88,100,8.05
91,Airai,TL,2022-07-24 17:14:50,-8.9266,125.4092,53.6,83,85,1.77
92,Teguise,ES,2022-07-24 17:14:50,29.0605,-13.564,75.42,78,0,3.44
93,Cabo San Lucas,MX,2022-07-24 17:12:33,22.8909,-109.9124,89.06,81,40,5.75
94,Kupang,ID,2022-07-24 17:14:50,-10.1667,123.5833,70.84,73,71,9.37
95,Pimenta Bueno,BR,2022-07-24 17:14:51,-11.6725,-61.1936,97.45,21,7,4.79
96,Pisco,PE,2022-07-24 17:15:51,-13.7,-76.2167,62.65,82,100,8.05
97,Provideniya,RU,2022-07-24 17:15:52,64.3833,-173.3,42.21,88,100,4.83
98,Seddon,AU,2022-07-24 17:15:52,-37.8068,144.8916,53.62,87,0,9.22
99,Cockburn Town,TC,2022-07-24 17:15:53,21.4612,-71.1419,85.96,66,40,16.11
100,Sitka,US,2022-07-24 17:12:29,57.0531,-135.33,57.09,88,100,9.22
101,Hasaki,JP,2022-07-24 17:15:53,35.7333,140.8333,75.6,87,99,14.61
102,Constitucion,CL,2022-07-24 17:15:54,-35.3333,-72.4167,54.95,90,100,12.21
103,Trairi,BR,2022-07-24 17:14:59,-3.2778,-39.2689,85.51,59,31,15.46
104,Bambous Virieux,MU,2022-07-24 17:15:54,-20.3428,57.7575,70.05,73,40,10.36
105,Lasa,IT,2022-07-24 17:15:55,46.6166,10.7002,84.69,72,73,3.24
106,Natal,BR,2022-07-24 17:14:53,-5.795,-35.2094,82.62,74,75,18.41
107,Beloha,MG,2022-07-24 17:15:55,-25.1667,45.05,65.48,78,6,5.14
108,Harlingen,US,2022-07-24 17:12:55,26.1906,-97.6961,94.96,67,20,20.71
109,Taoudenni,ML,2022-07-24 17:15:56,22.6783,-3.9836,112.23,11,11,15.48
110,Francisco Beltrao,BR,2022-07-24 17:15:56,-26.0811,-53.055,75.18,59,88,4.7
111,Shingu,JP,2022-07-24 17:15:18,33.7333,135.9833,73.92,88,99,3.69
112,Chake Chake,TZ,2022-07-24 17:15:57,-5.2459,39.7666,72.79,79,7,9.37
113,Owando,CG,2022-07-24 17:15:57,-0.4819,15.8999,80.26,66,98,4.99
114,Chokwe,MZ,2022-07-24 17:15:58,-24.5333,32.9833,65.91,73,80,15.14
115,Nemuro,JP,2022-07-24 17:15:58,43.3236,145.575,60.75,91,88,7.0
116,Hermanus,ZA,2022-07-24 17:15:58,-34.4187,19.2345,53.8,70,2,14.47
117,Phibun Mangsahan,TH,2022-07-24 17:15:59,15.2447,105.2291,78.78,82,61,5.26
118,Camacha,PT,2022-07-24 17:15:59,33.0833,-16.3333,78.22,61,20,14.97
119,Cortez,US,2022-07-24 17:15:59,37.3489,-108.5859,77.04,60,100,4.61
120,Faanui,PF,2022-07-24 17:16:00,-16.4833,-151.75,78.69,75,13,11.03
121,Port Macquarie,AU,2022-07-24 17:16:00,-31.4333,152.9167,45.9,90,9,5.66
122,Padang,ID,2022-07-24 17:16:01,-0.9492,100.3543,77.41,88,99,3.44
123,Namibe,AO,2022-07-24 17:16:01,-15.1961,12.1522,64.78,86,44,6.67
124,Chuy,UY,2022-07-24 17:16:02,-33.6971,-53.4616,67.17,83,51,2.28
125,Noumea,NC,2022-07-24 17:16:02,-22.2763,166.4572,73.99,99,36,6.87
126,Bolobo,CD,2022-07-24 17:16:03,-2.1667,16.2333,82.62,54,93,4.88
127,Nantucket,US,2022-07-24 17:16:03,41.2835,-70.0995,87.91,65,75,14.97
128,Vrangel,RU,2022-07-24 17:16:04,42.7297,133.0839,62.83,91,69,6.51
129,Redmond,US,2022-07-24 17:16:04,47.674,-122.1215,75.81,70,5,1.01
130,Kaitangata,NZ,2022-07-24 17:16:04,-46.2817,169.8464,34.43,92,3,2.51
131,Waipawa,NZ,2022-07-24 17:16:05,-41.4122,175.5153,44.47,88,100,9.86
132,Meulaboh,ID,2022-07-24 17:16:05,4.1363,96.1285,75.58,92,100,3.27
133,Codrington,AU,2022-07-24 17:16:05,-38.2667,141.9667,55.29,76,100,12.55
134,Cayenne,GF,2022-07-24 17:16:06,4.9333,-52.3333,86.09,1,75,3.44
135,Golfito,CR,2022-07-24 17:16:06,8.639,-83.166,84.83,69,100,3.76
136,Pereira Barreto,BR,2022-07-24 17:16:07,-20.6383,-51.1092,90.16,21,47,4.47
137,Mizdah,LY,2022-07-24 17:16:07,31.4451,12.9801,90.79,17,0,9.1
138,Hami,CN,2022-07-24 17:16:08,42.8,93.45,90.39,18,72,13.58
139,Bouloupari,NC,2022-07-24 17:16:08,-21.8667,166.05,66.11,89,8,1.25
140,Kirakira,SB,2022-07-24 17:16:08,-10.4544,161.9205,77.83,84,13,6.42
141,Nogliki,RU,2022-07-24 17:16:09,51.8333,143.1667,56.8,95,11,4.92
142,Viedma,AR,2022-07-24 17:17:09,-40.8135,-62.9967,48.99,69,100,13.62
143,Balod,IN,2022-07-24 17:17:10,20.73,81.2047,75.88,92,100,7.16
144,Samarai,PG,2022-07-24 17:17:10,-10.6167,150.6667,78.96,85,85,14.72
145,Geraldton,AU,2022-07-24 17:17:10,-28.7667,114.6,48.61,87,3,11.5
146,Hurghada,EG,2022-07-24 17:13:57,27.2574,33.8129,92.03,29,78,14.76
147,Aleppo,SY,2022-07-24 17:17:11,36.25,37.5,90.16,12,0,10.29
148,Athens,GR,2022-07-24 17:12:27,37.9795,23.7162,100.0,23,0,9.22
149,San Patricio,US,2022-07-24 17:17:11,28.017,-97.5169,95.07,45,4,17.09
150,Miguel Hidalgo,MX,2022-07-24 17:17:12,19.4225,-99.2028,68.59,54,75,8.05
151,Arlit,NE,2022-07-24 17:17:12,18.7369,7.3853,103.93,17,8,6.51
152,Ahwa,IN,2022-07-24 17:17:13,20.75,73.6833,71.92,93,100,6.4
153,Bagan,RU,2022-07-24 17:17:13,54.1001,77.6646,54.39,88,51,7.47
154,Caravelas,BR,2022-07-24 17:17:13,-17.7125,-39.2481,76.78,61,83,8.46
155,Saint George,US,2022-07-24 17:17:14,37.1041,-113.5841,90.43,45,75,9.22
156,Casablanca,MA,2022-07-24 17:17:14,33.5928,-7.6192,98.82,62,0,9.22
157,Wattegama,LK,2022-07-24 17:17:15,6.7989,81.4808,78.26,82,100,2.55
158,New Norfolk,AU,2022-07-24 17:17:15,-42.7826,147.0587,45.72,90,70,2.73
159,Bluff,NZ,2022-07-24 17:17:15,-46.6,168.3333,34.81,86,24,4.27
160,Kudahuvadhoo,MV,2022-07-24 17:17:16,2.6708,72.8944,82.69,72,64,8.61
161,Egvekinot,RU,2022-07-24 17:17:16,66.3167,-179.1667,35.76,76,100,8.95
162,Baghdad,IQ,2022-07-24 17:14:13,33.3406,44.4009,100.31,17,0,6.91
163,Kushima,JP,2022-07-24 17:17:17,31.4583,131.2333,76.93,95,74,1.63
164,Okhtyrka,UA,2022-07-24 17:17:17,50.3104,34.8988,72.75,64,74,3.27
165,Tongren,CN,2022-07-24 17:17:17,27.7172,109.1853,80.29,80,55,3.83
166,Vao,NC,2022-07-24 17:17:18,-22.6667,167.4833,72.39,76,74,13.98
167,Luderitz,NA,2022-07-24 17:17:18,-26.6481,15.1594,64.44,53,0,9.26
168,Takoradi,GH,2022-07-24 17:17:19,4.8845,-1.7554,77.25,75,87,9.44
169,Madera,US,2022-07-24 17:15:05,37.1666,-119.8343,97.23,15,0,1.01
170,Kolosovka,RU,2022-07-24 17:17:19,56.4678,73.611,59.59,82,98,6.35
171,Zhanaozen,KZ,2022-07-24 17:17:20,43.3,52.8,74.44,57,82,10.83
172,Fomboni,KM,2022-07-24 17:17:20,-12.28,43.7425,75.45,71,10,14.03
173,East London,ZA,2022-07-24 17:17:20,-33.0153,27.9116,60.4,55,99,13.94
174,Faya,SA,2022-07-24 17:17:21,18.3851,42.4509,64.51,58,92,7.99
175,Souillac,MU,2022-07-24 17:17:21,-20.5167,57.5167,70.18,73,40,10.36
176,Songjianghe,CN,2022-07-24 17:17:22,42.1859,127.479,57.97,99,5,4.12
177,Gat,IL,2022-07-24 17:17:22,31.61,34.7642,83.8,100,0,6.98
178,Quesnel,CA,2022-07-24 17:15:52,52.9999,-122.5029,66.7,59,20,2.3
179,Arraial Do Cabo,BR,2022-07-24 17:17:22,-22.9661,-42.0278,80.56,65,0,19.57
180,Zakamensk,RU,2022-07-24 17:17:23,50.3741,103.2863,48.78,96,100,2.35
181,Namatanai,PG,2022-07-24 17:17:23,-3.6667,152.4333,78.78,85,27,6.64
182,Mount Isa,AU,2022-07-24 17:17:24,-20.7333,139.5,49.77,76,0,0.0
183,Kahului,US,2022-07-24 17:17:24,20.8947,-156.47,77.85,72,20,13.8
184,Dhola,IN,2022-07-24 17:17:24,21.8833,71.7833,79.12,85,100,11.86
185,Pareora,NZ,2022-07-24 17:17:25,-44.4871,171.2132,38.17,97,58,5.55
