City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint Cloud,US,2022-07-25 19:00:25,45.5608,-94.1625,75.87,49,42,5.99
1,Alice Springs,AU,2022-07-25 18:58:45,-23.7,133.8833,38.75,87,0,2.3
2,Bambous Virieux,MU,2022-07-25 19:00:26,-20.3428,57.7575,66.22,75,24,11.83
3,Hobart,AU,2022-07-25 19:00:26,-42.8794,147.3294,53.46,93,100,1.14
4,Cape Town,ZA,2022-07-25 19:00:27,-33.9258,18.4232,62.38,58,0,3.0
5,Pochutla,MX,2022-07-25 19:00:27,15.7432,-96.4661,87.82,51,81,6.82
6,Arraial Do Cabo,BR,2022-07-25 19:00:28,-22.9661,-42.0278,72.01,82,6,19.51
7,Plouzane,FR,2022-07-25 19:00:28,48.3833,-4.6167,64.45,80,100,11.5
8,Mahebourg,MU,2022-07-25 19:00:29,-20.4081,57.7,66.25,76,27,12.15
9,Elat,IL,2022-07-25 19:00:29,29.5581,34.9482,90.97,28,0,11.21
10,Micoud,LC,2022-07-25 19:00:29,13.8167,-60.9,85.41,100,100,15.64
11,Vaini,TO,2022-07-25 18:57:43,-21.2,-175.2,71.76,88,20,5.75
12,Ponta Do Sol,PT,2022-07-25 19:00:30,32.6667,-17.1,88.72,48,77,4.0
13,Atuona,PF,2022-07-25 19:00:31,-9.8,-139.0333,78.1,62,93,14.97
14,Ucluelet,CA,2022-07-25 19:00:31,48.9329,-125.5528,70.09,79,4,4.99
15,Martan-Chu,RU,2022-07-25 19:00:31,43.0637,45.5622,73.29,56,99,4.92
16,Busselton,AU,2022-07-25 19:00:23,-33.65,115.3333,62.55,73,56,23.13
17,Ushuaia,AR,2022-07-25 19:00:32,-54.8,-68.3,35.26,69,40,18.41
18,Luderitz,NA,2022-07-25 19:00:32,-26.6481,15.1594,57.97,79,14,9.66
19,Nikolskoye,RU,2022-07-25 19:00:33,59.7035,30.7861,66.09,93,100,2.86
20,Vredendal,ZA,2022-07-25 19:00:34,-31.6683,18.5012,62.31,29,0,11.88
21,Ravar,IR,2022-07-25 19:00:34,31.2656,56.8055,94.59,19,13,10.63
22,Lagunas,PE,2022-07-25 19:00:35,-5.2269,-75.6753,90.61,47,35,3.11
23,Namibe,AO,2022-07-25 19:00:35,-15.1961,12.1522,63.34,85,4,6.31
24,Ridgecrest,US,2022-07-25 19:00:36,35.6225,-117.6709,97.65,15,53,1.99
25,Pacific Grove,US,2022-07-25 19:00:36,36.6177,-121.9166,68.2,88,7,7.0
26,Noumea,NC,2022-07-25 19:00:37,-22.2763,166.4572,73.0,99,76,7.45
27,Eureka,US,2022-07-25 19:00:12,40.8021,-124.1637,88.66,75,51,5.01
28,Touros,BR,2022-07-25 19:00:37,-5.1989,-35.4608,79.54,68,100,17.67
29,Abbeville,FR,2022-07-25 19:00:38,50.1,1.8333,67.5,67,0,13.87
30,Saint-Philippe,RE,2022-07-25 19:00:38,-21.3585,55.7679,65.79,82,46,11.07
31,Maridi,SS,2022-07-25 19:00:39,4.9158,29.4742,68.49,93,100,3.56
32,Illela,NG,2022-07-25 19:00:39,13.7292,5.2975,78.04,72,99,28.61
33,Rikitea,PF,2022-07-25 19:00:40,-23.1203,-134.9692,75.33,70,32,18.41
34,Fereydun Kenar,IR,2022-07-25 19:00:41,36.6864,52.5225,77.81,78,50,5.79
35,Ulladulla,AU,2022-07-25 19:00:41,-35.35,150.4667,52.41,90,99,5.86
36,Paraiso,CR,2022-07-25 18:58:00,9.8383,-83.8656,78.96,50,87,3.76
37,Castro,BR,2022-07-25 19:00:42,-24.7911,-50.0119,73.45,47,75,3.56
38,Hithadhoo,MV,2022-07-25 19:00:43,-0.6,73.0833,82.54,72,4,9.06
39,East London,ZA,2022-07-25 19:00:33,-33.0153,27.9116,57.85,64,0,9.78
40,Redlands,US,2022-07-25 19:00:01,34.0556,-117.1825,101.07,49,10,7.14
41,Hilo,US,2022-07-25 19:00:44,19.7297,-155.09,81.25,81,67,3.0
42,Santa Isabel Do Rio Negro,BR,2022-07-25 19:00:44,-0.4139,-65.0192,88.59,60,19,1.01
43,Ugoofaaru,MV,2022-07-25 19:00:45,5.6667,73.0,81.88,77,79,13.47
44,Sola,VU,2022-07-25 19:00:45,-13.8833,167.55,80.2,77,3,11.5
45,Lompoc,US,2022-07-25 18:57:49,34.6391,-120.4579,83.01,75,40,9.22
46,Beoumi,CI,2022-07-25 19:00:46,7.6736,-5.5764,74.41,81,38,3.74
47,Gat,IL,2022-07-25 19:01:46,31.61,34.7642,81.81,68,0,3.98
48,Santiago,CL,2022-07-25 19:01:47,-33.4569,-70.6483,60.28,67,100,4.29
49,Jamestown,US,2022-07-25 18:58:18,42.097,-79.2353,77.05,54,3,5.99
50,Puerto Ayora,EC,2022-07-25 18:58:28,-0.7393,-90.3518,78.76,90,73,5.99
51,Marawi,PH,2022-07-25 19:01:48,7.9986,124.2928,68.94,90,97,3.85
52,Sao Jose Da Coroa Grande,BR,2022-07-25 19:01:48,-8.8978,-35.1478,77.16,71,22,10.02
53,Mataura,NZ,2022-07-25 19:01:48,-46.1927,168.8643,43.48,95,100,11.05
54,Port Blair,IN,2022-07-25 18:58:25,11.6667,92.75,80.64,89,40,2.3
55,Port Alfred,ZA,2022-07-25 19:01:49,-33.5906,26.891,56.97,70,1,14.94
56,Doka,SD,2022-07-25 19:01:49,13.5167,35.7667,75.85,78,100,5.03
57,Ipixuna,BR,2022-07-25 19:01:50,-1.7625,-48.8043,81.82,74,84,2.55
58,Bluff,NZ,2022-07-25 19:01:50,-46.6,168.3333,43.81,88,100,25.95
59,Agua Prieta,MX,2022-07-25 19:01:50,31.3,-109.5667,86.38,43,9,2.51
60,Lagoa,PT,2022-07-25 19:01:51,39.05,-27.9833,75.15,83,0,9.6
61,Iguape,BR,2022-07-25 19:01:52,-24.7081,-47.5553,70.27,71,100,5.86
62,Valparaiso,CL,2022-07-25 19:00:23,-33.0393,-71.6273,54.48,86,100,18.48
63,Carnarvon,AU,2022-07-25 19:01:52,-24.8667,113.6333,61.97,38,0,8.97
64,Butaritari,KI,2022-07-25 19:01:53,3.0707,172.7902,82.06,69,66,20.33
65,Puerto Del Rosario,ES,2022-07-25 19:01:53,28.5004,-13.8627,78.55,78,0,13.8
66,Andros,GR,2022-07-25 19:01:53,37.8333,24.9333,82.72,43,2,8.01
67,Labrea,BR,2022-07-25 19:01:54,-7.2586,-64.7981,97.12,24,4,4.03
68,Santa Cruz,BO,2022-07-25 18:59:53,-17.8,-63.1667,87.85,55,40,18.41
69,Dunedin,NZ,2022-07-25 19:00:34,-45.8742,170.5036,46.35,93,100,18.88
70,Muli,MV,2022-07-25 19:01:54,2.9167,73.5667,82.22,73,97,12.1
71,Ekibastuz,KZ,2022-07-25 19:01:55,51.6667,75.3667,72.45,42,3,6.89
72,Nieuw Amsterdam,SR,2022-07-25 19:01:55,5.8833,-55.0833,84.22,79,40,9.22
73,Luanda,AO,2022-07-25 18:57:41,-8.8368,13.2343,69.04,96,25,12.97
74,Albany,US,2022-07-25 19:00:21,42.6001,-73.9662,84.16,70,21,1.01
75,Buta,CD,2022-07-25 19:01:56,2.7858,24.73,73.26,88,93,1.01
76,Hasaki,JP,2022-07-25 19:01:56,35.7333,140.8333,79.29,94,49,14.25
77,Merauke,ID,2022-07-25 19:01:56,-8.4667,140.3333,74.88,87,45,13.62
78,Seoul,KR,2022-07-25 19:00:38,37.5683,126.9778,74.64,83,0,1.61
79,Altoona,US,2022-07-25 19:01:57,40.5187,-78.3947,85.3,55,82,4.0
80,Fuerte Olimpo,PY,2022-07-25 19:01:58,-21.0415,-57.8738,97.77,18,1,8.66
81,Xinzhou,CN,2022-07-25 19:01:58,38.4092,112.7333,64.08,94,0,1.07
82,Guthrie,US,2022-07-25 18:58:14,35.8789,-97.4253,105.55,18,91,11.41
83,Yaroslavskaya,RU,2022-07-25 19:01:59,44.6106,40.4642,65.17,82,44,5.35
84,Coquimbo,CL,2022-07-25 19:01:59,-29.9533,-71.3436,56.64,75,99,3.96
85,Pasan,IN,2022-07-25 19:01:59,22.85,82.2,74.8,92,100,2.98
